Part,Chapter,Word,WordTranslation,Example,ExampleTranslation
1,10,laugh,vt笑&n笑,"The manager told a joke, but no one laughed","经理讲了一个笑话,不过却没有人笑"
1,10,be as happy as a clam,"乐翻天,非常快乐",I was as happy as a clam when we won the game,"我们赢得比赛时,我乐翻天了"
1,10,thill,vt.使兴奋&n.兴奋,It thrills me to know that my girlfriend is coming to see me tonight.,"得知我女友今晚要来看我时,我兴奋不已"
1,10,excite,vt.使兴奋,The magic show excited all the children,这场魔术表演使所有的小朋友好兴奋
1,10,comfort,n.舒适&vt.安慰,I find comfort in listening to music whenever I feel upset,每当我心烦时就会在听音乐中找到慰籍
1,10,cheer up,使高兴(及物动词);振奋起来(不及物动词）,"We all tried to cheer Mary up, but she still felt very down","我们都在试图激励玛丽,可她仍然很失落"
1,10,delight,vt使喜悦&n欣喜,"Ladies and gentlemen, I take delight in giving this speech to you this evening","诸位女土先生,今晚很高兴能向大家发表演讲"
1,10,interested,adj.感到有趣的,I find this story very interesting,我发现这个故事很有趣
1,10,satisfy,vt.使满足,I'm not satisfied with my new hairstyle,我不满意这个新发型
1,10,amaze,vt.使惊艳,Joe's violin playing skills amazed everyone at the concert,乔的小提琴演奏技巧计演秦会上的所有人大为惊艳
1,10,fascinate,vt.使着迷,Tim was fascinated by the girl's sweet volce on the phone,蒂姆对电话中女该的甜美声音深深着迷
1,10,exclaim,vt.惊叹,"Oh, there she isl"" Jane exclaimed when she saw her long lost friend","“噢,她在那儿！”简看到失散多年的朋友时,她惊叫出声"
1,10,take sb by surprise,使某人惊讶,Mr. Como's offer took me by surprise.,柯摩先生的提议使我很惊讶
1,10,grieve,vt.&vi(使)悲痛,"Polly grieved her dog's death, but there was nothing she could do about it","波莉为狗儿的死去感到悲伤,但无能为力"
1,10,mourn,vt.&vi.哀悼,I don't like the mournful music the store plays,我不喜欢这间商店播放的优伤的音乐
1,10,break sb' s heart,让某人伤心,What you said truly broke my heart.,你的话真的伤了我的心
1,10,burst out crying,突然大哭,Kelly burst out arying when David broke up with her = Kelly burst into tears when David broke up with her,"戴维跟她分手时,凯莉突然大哭起来"
1,10,dishearten,vt.使气馁,It disheartens me that everything in my hometown has changed,故乡人事已非使我感到气馁
1,10,discourage,"vt.使打消念头,使气馁",Carl tried to discourage his daughter from datngboys,卡尔试图打消他女儿想和男孩子约会的念头
1,10,dissatisfy,vt.使不满意,The product dissatisfies me; I want to return it,这件商品我很不满意;我想要退货
1,10,disappoint,vt.使失望,John was disappointed with his grades,约翰对他的成绩失望了
1,10,let sb down,使某人失望,Please don' t let me down,请别让我失望
